X,Y,Z,Radii
2.769731,-4.62575,3.5476,0.77
4.176759,-4.459882,3.905077,0.77
2.691086,-5.124788,2.583843,0.37
2.289282,-3.653413,3.484684,0.37
2.264973,-5.226312,4.299731,0.37
5.302097,-4.326899,4.191058,0.73
2.77402,-4.62575,3.55618,0.77
4.179619,-4.459882,3.907937,0.77
2.692516,-5.119068,2.611011,0.37
2.290712,-3.653413,3.488974,0.37
2.269263,-5.229171,4.306881,0.37
5.306386,-4.325469,4.193918,0.73
8.03751,3.137217,9.154267,0.77
9.274379,3.048563,8.384976,0.77
8.090416,3.978002,9.840622,0.37
7.891658,2.222076,9.72337,0.37
7.192434,3.278778,8.48507,0.37
10.265305,2.978497,7.767257,0.73
8.03751,3.140077,9.148547,0.77
9.277239,3.048563,8.382117,0.77
8.090416,3.985152,9.832043,0.37
7.887369,2.223506,9.707641,0.37
7.192434,3.283067,8.48221,0.37
10.269594,2.977067,7.764397,0.73
-10.17379,13.795746,-5.023264,0.77
-9.400211,14.003083,-3.802123,0.77
-11.148987,14.263326,-4.92603,0.37
-10.305342,12.730466,-5.199144,0.37
-9.651874,14.233298,-5.871199,0.37
-8.781061,14.170382,-2.824067,0.73
-10.17093,13.801466,-5.020404,0.77
-9.397351,14.005943,-3.797834,0.77
-11.150417,14.271905,-4.9246,0.37
-10.295332,12.741905,-5.204863,0.37
-9.650445,14.233298,-5.86548,0.37
-8.776772,14.171812,-2.815487,0.73
-0.15157,-5.793984,-6.63191,0.77
-1.08101,-5.024694,-5.809714,0.77
-0.080075,-6.810649,-6.254414,0.37
0.833634,-5.334985,-6.603312,0.37
-0.501897,-5.821153,-7.661444,0.37
-1.825992,-4.408404,-5.151956,0.73
-0.155859,-5.792554,-6.62762,0.77
-1.0853,-5.023264,-5.805425,0.77
-0.081505,-6.809219,-6.247265,0.37
0.822195,-5.340704,-6.609032,0.37
-0.499038,-5.815434,-7.658584,0.37
-1.834571,-4.405544,-5.147666,0.73
13.029316,-4.565693,-10.710007,0.77
13.881541,-3.380302,-10.762912,0.77
13.502615,-5.332125,-10.102296,0.37
12.876316,-4.95177,-11.713801,0.37
12.066988,-4.30974,-10.275314,0.37
14.563607,-2.430843,-10.804381,0.73
13.033606,-4.562834,-10.712866,0.77
13.884401,-3.376012,-10.762912,0.77
13.511194,-5.333555,-10.106586,0.37
12.879176,-4.94748,-11.716661,0.37
12.071278,-4.31117,-10.282463,0.37
14.566467,-2.426553,-10.802951,0.73
-8.906893,-0.75928,-10.993128,0.77
-9.159986,-2.106253,-10.49266,0.77
-8.259146,-0.224496,-10.303912,0.37
-9.846343,-0.220206,-11.090362,0.37
-8.425014,-0.810758,-11.966895,0.37
-9.363034,-3.185833,-10.090857,0.73
-8.905463,-0.765,-10.997417,0.77
-9.161416,-2.110543,-10.49266,0.77
-8.257716,-0.230215,-10.319642,0.37
-9.840623,-0.234505,-11.094651,0.37
-8.420724,-0.815048,-11.969754,0.37
-9.367324,-3.188693,-10.087997,0.73
2.754002,-4.880274,14.919654,0.77
4.095255,-5.452237,14.97399,0.77
2.437992,-4.77732,13.884401,0.37
2.751142,-3.900787,15.390093,0.37
2.053347,-5.526591,15.441569,0.37
5.170545,-5.911236,15.018317,0.73
2.758291,-4.883134,14.923944,0.77
4.099544,-5.455097,14.976849,0.77
2.439422,-4.78161,13.88869,0.37
2.754002,-3.902217,15.392952,0.37
2.060496,-5.529451,15.444429,0.37
5.174835,-5.914096,15.018317,0.73
12.045539,-5.773965,-15.011167,0.77
12.312933,-6.606172,-13.842932,0.77
12.932082,-5.196284,-15.262831,0.37
11.226203,-5.091901,-14.798111,0.37
11.775287,-6.398835,-15.857673,0.37
12.527418,-7.273939,-12.906344,0.73
12.046969,-5.779685,-15.004018,0.77
12.314362,-6.609032,-13.838643,0.77
12.934942,-5.207723,-15.254252,0.37
11.227633,-5.09905,-14.793821,0.37
11.776717,-6.407416,-15.840514,0.37
12.528848,-7.275369,-12.902055,0.73
12.447344,0.9323,11.184735,0.77
13.269541,-0.237365,11.480726,0.77
12.475941,1.624376,12.022661,0.37
11.41924,0.624871,11.011716,0.37
12.821979,1.432768,10.296763,0.37
13.930157,-1.173955,11.718091,0.73
12.457353,0.93087,11.183305,0.77
13.27526,-0.240224,11.482156,0.77
12.488811,1.627236,12.019801,0.37
11.433539,0.622011,11.004567,0.37
12.829129,1.432768,10.295333,0.37
13.937307,-1.176814,11.720951,0.73
4.47275,9.640435,-9.167136,0.77
5.925536,9.690482,-9.307267,0.77
4.195348,8.838258,-8.489361,0.37
4.01518,9.461697,-10.136613,0.37
4.106694,10.584174,-8.769622,0.37
7.089481,9.730519,-9.420229,0.73
4.4799,9.636146,-9.171426,0.77
5.931256,9.687623,-9.310126,0.77
4.205358,8.831108,-8.492221,0.37
4.023759,9.458837,-10.140903,0.37
4.109554,10.579884,-8.775342,0.37
7.09949,9.729089,-9.424519,0.73
-4.251115,-5.263489,14.054559,0.77
-4.251115,-6.690537,13.742839,0.77
-3.303086,-4.823078,13.759999,0.37
-4.395535,-5.120498,15.12127,0.37
-5.056152,-4.767311,13.516915,0.37
-4.251115,-7.833032,13.492606,0.73
-4.256834,-5.270638,14.055989,0.77
-4.252545,-6.696256,13.741409,0.77
-3.320244,-4.838807,13.761429,0.37
-4.401255,-5.124788,15.12413,0.37
-5.056152,-4.77446,13.521204,0.37
-4.253975,-7.844471,13.494036,0.73
7.229612,-11.653746,-8.453612,0.77
6.581864,-12.221418,-9.633286,0.77
6.849256,-12.137053,-7.557061,0.37
7.025135,-10.588464,-8.399276,0.37
8.303472,-11.808175,-8.512239,0.37
6.062807,-12.676129,-10.578455,0.73
7.225322,-11.653746,-8.462191,0.77
6.577574,-12.222848,-9.640435,0.77
6.849256,-12.128474,-7.56564,0.37
7.013696,-10.591324,-8.412145,0.37
8.299182,-11.809605,-8.519388,0.37
6.061377,-12.681848,-10.591324,0.73
1.901777,2.362207,-9.388772,0.77
1.025244,2.064786,-8.259146,0.77
2.871254,2.695375,-9.025575,0.37
1.461365,3.147226,-9.999342,0.37
2.036188,1.472805,-9.997912,0.37
0.324589,1.825992,-7.354013,0.73
1.900347,2.366497,-9.388772,0.77
1.023814,2.064786,-8.256286,0.77
2.871254,2.699665,-9.029865,0.37
1.465655,3.148656,-10.000772,0.37
2.033328,1.484244,-9.995053,0.37
0.321729,1.825992,-7.349723,0.73
9.713361,7.425509,4.773031,0.77
8.891164,6.390256,5.392181,0.77
10.64566,7.532752,5.322115,0.37
9.182866,8.373537,4.78447,0.37
9.936426,7.155257,3.744927,0.37
8.231977,5.56091,5.889788,0.73
9.709071,7.421219,4.773031,0.77
8.886875,6.385966,5.393611,0.77
10.63994,7.529892,5.322115,0.37
9.180005,8.366388,4.78304,0.37
9.932137,7.152396,3.743497,0.37
8.227687,5.549471,5.888358,0.73
16.669861,-11.26338,-3.313095,0.77
15.244243,-10.977399,-3.446076,0.77
17.238963,-10.617062,-3.978003,0.37
16.864327,-12.300064,-3.574768,0.37
16.990159,-11.088932,-2.289282,0.37
14.101746,-10.750043,-3.55189,0.73
16.662711,-11.26481,-3.314525,0.77
15.238523,-10.977399,-3.447506,0.77
17.224664,-10.619922,-3.970854,0.37
16.858608,-12.300064,-3.571908,0.37
16.985869,-11.094651,-2.297861,0.37
14.093167,-10.748613,-3.55332,0.73
-1.878898,0.225925,2.170599,0.77
-0.630589,0.46472,2.888413,0.77
-2.721113,0.546225,2.77688,0.37
-1.981851,-0.835066,1.951824,0.37
-1.881757,0.782159,1.23687,0.37
0.368918,0.656327,3.464666,0.73
-1.868888,0.223066,2.170599,0.77
-0.623439,0.46472,2.891273,0.77
-2.702525,0.537645,2.771161,0.37
-1.971842,-0.833636,1.950394,0.37
-1.871748,0.77787,1.24116,0.37
0.390366,0.657757,3.477535,0.73
5.365012,-0.807898,5.718199,0.77
4.930321,-0.340318,7.030854,0.77
5.304956,0.00429,4.998956,0.37
4.727274,-1.622944,5.387891,0.37
6.393116,-1.161086,5.772536,0.37
4.581423,0.034317,8.083266,0.73
5.366442,-0.809328,5.725349,0.77
4.930321,-0.337459,7.036574,0.77
5.302097,0.00429,5.008965,0.37
4.730134,-1.624374,5.392181,0.37
6.394546,-1.163945,5.779685,0.37
4.579993,0.041467,8.086127,0.73
-1.901778,-11.367763,2.686796,0.77
-0.499038,-11.617997,3.004235,0.77
-2.123412,-11.736679,1.688721,0.37
-2.104823,-10.301052,2.723974,0.37
-2.539516,-11.87681,3.403179,0.37
0.626301,-11.816755,3.260189,0.73
-1.896058,-11.369193,2.686796,0.77
-0.493318,-11.619427,3.007095,0.77
-2.117692,-11.735249,1.688721,0.37
-2.101963,-10.299622,2.721114,0.37
-2.530937,-11.87967,3.403179,0.37
0.63631,-11.818185,3.268768,0.73
11.72524,-9.56608,-15.688943,0.77
13.129409,-9.351595,-15.347196,0.77
11.472147,-8.995548,-16.578346,0.37
11.093222,-9.241492,-14.865317,0.37
11.547932,-10.621352,-15.879121,0.37
14.253317,-9.180005,-15.074084,0.73
11.73096,-9.567509,-15.686084,0.77
13.135129,-9.353025,-15.348626,0.77
11.475006,-9.004127,-16.566907,0.37
11.096081,-9.241492,-14.869607,0.37
11.553651,-10.619922,-15.879121,0.37
14.266186,-9.185724,-15.078374,0.73
7.108069,8.446462,-12.448773,0.77
6.067097,7.466976,-12.744763,0.77
7.459827,8.314911,-11.42925,0.37
6.709125,9.451688,-12.560306,0.37
7.943135,8.317771,-13.13227,0.37
5.233461,6.680527,-12.982128,0.73
7.09949,8.445032,-12.448773,0.77
6.062807,7.464117,-12.741904,0.77
7.451247,8.312051,-11.43068,0.37
6.701976,9.447398,-12.561736,0.37
7.935986,8.320631,-13.1337,0.37
5.230601,6.677667,-12.979268,0.73
12.511689,6.002751,-13.030746,0.77
11.147558,6.105704,-12.51884,0.77
12.538858,5.304956,-13.864382,0.37
13.173737,5.646704,-12.245726,0.37
12.853438,6.976518,-13.371064,0.37
10.055109,6.188639,-12.108455,0.73
12.513119,6.001321,-13.027886,0.77
11.143268,6.105704,-12.51455,0.77
12.548867,5.309246,-13.860093,0.37
13.175166,5.643844,-12.244296,0.37
12.856297,6.970799,-13.371064,0.37
10.047959,6.190069,-12.099876,0.73
-1.714459,7.416929,-9.985043,0.77
-2.106253,7.375462,-11.392071,0.77
-1.08816,8.286313,-9.803444,0.37
-1.159656,6.518948,-9.73052,0.37
-2.599571,7.478415,-9.355884,0.37
-2.420833,7.341145,-12.51741,0.73
-1.717319,7.416929,-9.987903,0.77
-2.107683,7.372603,-11.394931,0.77
-1.091019,8.282024,-9.803444,0.37
